grid_id,lat,lon,cluster,neighborhood_name,neighborhood_is_fallback,supervisor_district,supervisor_district_name,supervisor_name,district_is_fallback
100_59,37.795166947,-122.44686809,0,Presidio,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
100_60,37.795623946111114,-122.44619652388889,1,Marina,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
100_61,37.795353601,-122.445385356,1,Marina,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
100_62,37.7949679204375,-122.44436715784376,1,Pacific Heights,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
100_64,37.794861816,-122.441739167,1,Pacific Heights,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
100_67,37.795282797,-122.43842862199999,1,Pacific Heights,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
100_68,37.79519449746296,-122.43722446822221,1,Pacific Heights,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
100_69,37.795175163,-122.43594809999999,3,Pacific Heights,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
100_70,37.795683358,-122.435275855,3,Pacific Heights,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
100_71,37.795054727025644,-122.43355604256412,3,Pacific Heights,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
100_72,37.795593886,-122.43265941400001,1,Pacific Heights,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
100_73,37.79548011173333,-122.43130718653333,1,Pacific Heights,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
100_74,37.79487124544084,-122.43078231074942,1,Pacific Heights,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
100_75,37.79495738259701,-122.42915815667163,1,Pacific Heights,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
100_76,37.795301695823525,-122.42765831063237,1,Pacific Heights,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
100_78,37.79546758547107,-122.42588784054544,1,Pacific Heights,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
100_79,37.795686071,-122.42424620700001,1,Pacific Heights,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
100_80,37.795294162,-122.423148267,3,Nob Hill,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
100_81,37.794868124,-122.422393955,0,Nob Hill,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
100_82,37.795087917711115,-122.42075015593335,3,Nob Hill,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
100_83,37.7956678614,-122.4200089124,3,Nob Hill,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
100_84,37.795348124212765,-122.41941045421277,3,Nob Hill,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
100_85,37.79510205491333,-122.41813787099333,3,Nob Hill,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
100_86,37.79524817956097,-122.41659170595123,3,Nob Hill,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
